UrunGrubu, Marka, UretimYil, Bolge, CalismaSuresi, SikayetGrup, ToplamMaliyet
10, 1, 2018, 1, 0, 2, 630
10, 1, 2018, 1, 0, 3, 750
10, 1, 2018, 1, 0, 4, 1456
10, 1, 2018, 1, 1, 1, 0
10, 1, 2018, 1, 1, 2, 49762
10, 1, 2018, 1, 1, 3, 15008
10, 1, 2018, 1, 1, 4, 77188
10, 1, 2018, 1, 1, 5, 5061
10, 1, 2018, 1, 1, 6, 2465
10, 1, 2018, 1, 1, 7, 7879
10, 1, 2018, 1, 1, 8, 7826
10, 1, 2018, 1, 2, 2, 28906
10, 1, 2018, 1, 2, 3, 9690
10, 1, 2018, 1, 2, 4, 6220
10, 1, 2018, 1, 2, 5, 4506
10, 1, 2018, 1, 2, 6, 3011
10, 1, 2018, 1, 2, 7, 4566
10, 1, 2018, 1, 2, 8, 4586
10, 1, 2018, 1, 3, 2, 31846
10, 1, 2018, 1, 3, 3, 23232
10, 1, 2018, 1, 3, 4, 974
10, 1, 2018, 1, 3, 5, 3035
10, 1, 2018, 1, 3, 6, 4533
10, 1, 2018, 1, 3, 7, 1910
10, 1, 2018, 1, 3, 8, 3014
10, 1, 2018, 1, 4, 2, 50918
10, 1, 2018, 1, 4, 3, 15052
10, 1, 2018, 1, 4, 4, 714
10, 1, 2018, 1, 4, 5, 1292
10, 1, 2018, 1, 4, 6, 2282
10, 1, 2018, 1, 4, 7, 1905
10, 1, 2018, 1, 4, 8, 6051
10, 1, 2018, 1, 5, 2, 48496
10, 1, 2018, 1, 5, 3, 18912
10, 1, 2018, 1, 5, 4, 609
10, 1, 2018, 1, 5, 5, 761
10, 1, 2018, 1, 5, 6, 636
10, 1, 2018, 1, 5, 7, 2106
10, 1, 2018, 1, 5, 8, 3550
10, 1, 2018, 1, 6, 1, 1487
10, 1, 2018, 1, 6, 2, 43078
10, 1, 2018, 1, 6, 3, 22640
10, 1, 2018, 1, 6, 4, 3446
10, 1, 2018, 1, 6, 5, 2206
10, 1, 2018, 1, 6, 6, 4550
10, 1, 2018, 1, 6, 7, 3886
10, 1, 2018, 1, 6, 8, 757
10, 1, 2018, 1, 7, 2, 47308
10, 1, 2018, 1, 7, 3, 41159
10, 1, 2018, 1, 7, 5, 2757
10, 1, 2018, 1, 7, 6, 5059
10, 1, 2018, 1, 7, 7, 4223
10, 1, 2018, 1, 7, 8, 5652
10, 1, 2018, 1, 8, 2, 43110
10, 1, 2018, 1, 8, 3, 27736
10, 1, 2018, 1, 8, 4, 652
10, 1, 2018, 1, 8, 5, 8199
10, 1, 2018, 1, 8, 6, 1974
10, 1, 2018, 1, 8, 7, 1396
10, 1, 2018, 1, 8, 8, 3755
10, 1, 2018, 1, 9, 1, 2082
10, 1, 2018, 1, 9, 2, 38267
10, 1, 2018, 1, 9, 3, 13253
